,name,title_clean,revenues_clean,gross_profit
874,David S Goyer,Blade: Trinity,128900000.0,-550000.0
2257,David S Goyer,The Unborn,76500000.0,22250000.0
2445,Miguel Sapochnik,Repo Men,18409891.0,-22795054.5
1143,Rupert Wainwright,The Fog,46201432.0,5100716.0
1974,John Erick Dowdle,Quarantine,41300000.0,8650000.0
2323,John Erick Dowdle,Devil,33500000.0,6750000.0
3317,John Erick Dowdle,"As Above, So Below",41800000.0,15900000.0
3469,John Erick Dowdle,No Escape,54400000.0,22200000.0
2946,Nicols Lpez,Aftershock,58510.0,-1970745.0
2016,Robert Stevenhagen,The Tale of Despereaux,86900000.0,-16550000.0
289,Kevin Smith,Jay and Silent Bob Strike Back,33800000.0,-5100000.0
290,Kevin Smith,Clerks,3200000.0,1572425.0
291,Kevin Smith,Clerks,3200000.0,1572425.0
955,Kevin Smith,Jersey Girl,36100000.0,-16950000.0
1355,Kevin Smith,Clerks II,27000000.0,8500000.0
2043,Kevin Smith,Zack and Miri Make a Porno,42100000.0,-2950000.0
2308,Kevin Smith,Cop Out,55600000.0,-2200000.0
2660,Kevin Smith,Red State,1874460.0,-3062770.0
3327,Kevin Smith,Tusk,1800000.0,-2100000.0
38,Lasse Hallstrm,Chocolat,152699946.0,51349973.0
381,Lasse Hallstrm,The Shipping News,24690441.0,-25654779.5
1289,Lasse Hallstrm,An Unfinished Life,18600000.0,-20700000.0
1694,Lasse Hallstrm,The Hoax,11772461.0,-19113769.5
2317,Lasse Hallstrm,Dear John,114900000.0,32450000.0
2360,Lasse Hallstrm,Hachi: A Dog's Tale,46700000.0,7350000.0
3152,Lasse Hallstrm,Safe Haven,97594140.0,20797070.0
3304,Lasse Hallstrm,The Hundred-Foot Journey,88900000.0,22450000.0
598,Bruce McCulloch,Stealing Harvard,14300000.0,-17850000.0
1233,Kirk Jones,Nanny McPhee,122489822.0,36244911.0
1234,Kirk Jones,Nanny McPhee,122489822.0,36244911.0
2101,Kirk Jones,Everybody's Fine,15986449.0,-13006775.5
2930,Kirk Jones,What to Expect When You're Expecting,84400000.0,2200000.0
3527,Kirk Jones,My Big Fat Greek Wedding 2,88900000.0,26450000.0
792,Francis Glebas,Piglet's Big Movie,62900000.0,-14550000.0
2037,George Cukor,The Women,2270000.0,-553000.0
720,Bille Woodruff,Honey,62200000.0,13100000.0
1093,Bille Woodruff,Beauty Shop,37200000.0,-6400000.0
3336,Bille Woodruff,Addicted,17500000.0,3750000.0
3520,Bille Woodruff,The Perfect Match,10400000.0,200000.0
1278,Steve Boyum,Supercross,3344431.0,-28327784.5
2285,Anthony Bell,Alpha and Omega,50500000.0,5250000.0
824,Catherine Hardwicke,Thirteen,10100000.0,3050000.0
1212,Catherine Hardwicke,Lords of Dogtown,13400000.0,-18300000.0
1484,Catherine Hardwicke,The Nativity Story,46400000.0,-11800000.0
2019,Catherine Hardwicke,Twilight,393600000.0,159800000.0
2020,Catherine Hardwicke,Twilight,393600000.0,159800000.0
2659,Catherine Hardwicke,Red Riding Hood,89162162.0,2581081.0
3137,Catherine Hardwicke,Plush,3080.0,-1998460.0
699,Andrew Stanton,Finding Nemo,940300000.0,376150000.0
700,Andrew Stanton,Finding Nemo,940300000.0,376150000.0
701,Andrew Stanton,Finding Nemo,940300000.0,376150000.0
2028,Andrew Stanton,WALL-E,533300000.0,86650000.0
2830,Andrew Stanton,John Carter,284100000.0,-107950000.0
3564,Andrew Stanton,Finding Dory,1028000000.0,314000000.0
2314,Jay Duplass,Cyrus,9931520.0,-2034240.0
2829,Jay Duplass,"Jeff, Who Lives at Home",4400000.0,-5300000.0
