,name,title_clean,revenues_clean,gross_profit
462,Peter Hastings,The Country Bears,18012097.0,-25993951.5
458,John Stainton,The Crocodile Hunter: Collision Course,33400000.0,4700000.0
3631,J A Bayona,A Monster Calls,43000000.0,-21500000.0
161,John Singleton,Shaft,107200000.0,7600000.0
223,John Singleton,Baby Boy,29381649.0,-1309175.5
634,John Singleton,2 Fast 2 Furious,236300000.0,42150000.0
635,John Singleton,2 Fast 2 Furious,236300000.0,42150000.0
1145,John Singleton,Four Brothers,92494381.0,1247190.5
2509,John Singleton,Abduction,82100000.0,6050000.0
2137,Morgan J Freeman,Homecoming,8500000.0,2750000.0
896,Sara Sugarman,Confessions of a Teenage Drama Queen,33000000.0,1500000.0
3228,Noam Murro,300: Rise of an Empire,337600000.0,58800000.0
3266,Gareth Edwards,Godzilla,529100000.0,104550000.0
3629,Gareth Edwards,Rogue One: A Star Wars Story,1055000000.0,327500000.0
1968,Nelson McCormick,Prom Night,57200000.0,8600000.0
2238,Nelson McCormick,The Stepfather,31100000.0,-4450000.0
856,Dwight Little,Anacondas: The Hunt for the Blood Orchid,71000000.0,15500000.0
2833,Dan Cutforth,Katy Perry: Part of Me,32726956.0,3363478.0
2157,Matthew Robinson,The Invention of Lying,32700000.0,-2150000.0
3051,David Boyd,Home Run,2861020.0,230510.0
1415,Phil Joanou,Gridiron Gang,41480851.0,-9259574.5
1381,Greg Coolidge,Employee of the Month,38400000.0,7200000.0
2906,Scott Speer,Step Up Revolution,140500000.0,37250000.0
2907,Scott Speer,Step Up Revolution,140500000.0,37250000.0
186,Keith Gordon,Waking the Dead,327418.0,-8336291.0
810,Keith Gordon,The Singing Detective,337174.0,-7831413.0
517,Kathryn Bigelow,K-19: The Widowmaker,65700000.0,-67150000.0
2144,Kathryn Bigelow,The Hurt Locker,49200000.0,9600000.0
2935,Kathryn Bigelow,Zero Dark Thirty,132800000.0,26400000.0
3483,Kathryn Bigelow,Point Break,83500000.0,17750000.0
193,Matt Williams,Where The Heart Is,40863718.0,5431859.0
3142,James DeMonaco,The Purge,89300000.0,41650000.0
3143,James DeMonaco,The Purge,89300000.0,41650000.0
3144,James DeMonaco,The Purge,89300000.0,41650000.0
3295,James DeMonaco,The Purge: Anarchy,111900000.0,46950000.0
3573,James DeMonaco,The Purge: Election Year,118600000.0,49300000.0
3414,Dan Fogelman,Danny Collins,8200000.0,-5900000.0
735,Stephen Deutsch as Stephen Simon,Indigo,1200000.0,100000.0
93,Steven Brill,Little Nicky,58300000.0,-55850000.0
533,Steven Brill,Mr Deeds,171300000.0,35650000.0
1069,Steven Brill,Without a Paddle,69631118.0,15815559.0
1880,Steven Brill,Drillbit Taylor,49700000.0,-15150000.0
3109,Steven Brill,Movie 43,32400000.0,10200000.0
3259,Steven Brill,Walk of Shame,7900000.0,-11050000.0
316,Irwin Winkler,Life as a House,23903791.0,-15048104.5
906,Irwin Winkler,De-Lovely,18396382.0,-5801809.0
1428,Irwin Winkler,Home of the Brave,499620.0,-11750190.0
1175,Jaume ColletSerra,House of Wax,70000000.0,-5000000.0
2206,Jaume ColletSerra,Orphan,78800000.0,19400000.0
2705,Jaume ColletSerra,Unknown,136100000.0,38050000.0
3225,Jaume ColletSerra,Non-Stop,222800000.0,61400000.0
3413,Jaume ColletSerra,Run All Night,71700000.0,-25750000.0
3568,Jaume ColletSerra,The Shallows,119100000.0,42550000.0
3188,Jim Rash,"The Way, Way Back",23200000.0,6600000.0
498,Tuck Tucker,Hey Arnold!: The Movie,15200000.0,4600000.0
3632,F Javier Gutirrez,Rings,81700000.0,15850000.0
255,Renny Harlin,Driven,54700000.0,-66650000.0
916,Renny Harlin,Exorcist: The Beginning,78000000.0,-11000000.0
917,Renny Harlin,Exorcist: The Beginning,78000000.0,-11000000.0
979,Renny Harlin,Mind Hunters,21100000.0,-16450000.0
1361,Renny Harlin,The Covenant,37600000.0,-1200000.0
2045,Renny Harlin,12 Rounds,29672000.0,-7164000.0
3203,Renny Harlin,The Legend of Hercules,61300000.0,-39350000.0
1736,Pang Brothers,The Messengers,55010659.0,11505329.5
1845,Pang Brothers,Bangkok Dangerous,42500000.0,-23750000.0
2143,Bob Gosse,I Hope They Serve Beer In Hell,1430000.0,-6285000.0
909,Emile Ardolino,Dirty Dancing,214000000.0,101000000.0
565,John McTiernan,Rollerball,25900000.0,-57050000.0
650,John McTiernan,Basic,42800000.0,-28600000.0
1726,John McTiernan,Die Hard with a Vengeance,366100000.0,93050000.0
2,Betty Thomas,28 Days,62200000.0,-11900000.0
254,Betty Thomas,Dr. Dolittle,294400000.0,76700000.0
503,Betty Thomas,I Spy,50700000.0,-44650000.0
1447,Betty Thomas,John Tucker Must Die,68824526.0,16412263.0
2054,Betty Thomas,Alvin and the Chipmunks: The Squeakquel,443140005.0,151570002.5
2055,Betty Thomas,Alvin and the Chipmunks: The Squeakquel,443140005.0,151570002.5
948,Will Finn,Home on the Range,103900000.0,-58050000.0
41,David McNally,Coyote Ugly,113900000.0,11950000.0
743,David McNally,Kangaroo Jack,88900000.0,-15550000.0
1852,Mark Herman,The Boy in the Striped Pyjamas,44000000.0,9500000.0
240,Kasi Lemmons,The Caveman's Valentine,687194.0,-13156403.0
2965,Kasi Lemmons,Black Nativity,7454185.0,-13772907.5
2422,Samuel Bayer,A Nightmare on Elm Street,115600000.0,22800000.0
184,Jamie Blanks,Urban Legend,72500000.0,22250000.0
405,Jamie Blanks,Valentine,36700000.0,8350000.0
2320,Pierre Coffin,Despicable Me,543100000.0,202550000.0
2321,Pierre Coffin,Despicable Me,543100000.0,202550000.0
2322,Pierre Coffin,Despicable Me,543100000.0,202550000.0
2998,Pierre Coffin,Despicable Me 2,970800000.0,409400000.0
2999,Pierre Coffin,Despicable Me 2,970800000.0,409400000.0
3464,Pierre Coffin,Minions,1159000000.0,505500000.0
1467,Pat Holden,The Long Weekend,3467374.0,-2266313.0
2279,Reed Cowan,8: The Mormon Proposition,100280.0,-2449860.0
229,Gil Junger,Black Knight,40000000.0,-30000000.0
951,Alex Proyas,"I, Robot",347200000.0,53600000.0
2164,Alex Proyas,Knowing,187900000.0,43950000.0
3512,Alex Proyas,Gods of Egypt,150700000.0,-64650000.0
1907,T Sean Shannon,Harold,13229.0,-3493385.5
2952,Michael Taverna,Apartment 1303 3D,3363093.0,-3318453.5
1131,Carroll Ballard,Duma,994790.0,-11502605.0
2285,Ben Gluck,Alpha and Omega,50500000.0,5250000.0
1959,Eric Valette,One Missed Call,45800000.0,2900000.0
258,Ivan Reitman,Evolution,98400000.0,-30800000.0
1481,Ivan Reitman,My Super Ex-Girlfriend,61000000.0,500000.0
2643,Ivan Reitman,No Strings Attached,149200000.0,49600000.0
3245,Ivan Reitman,Draft Day,29500000.0,-10250000.0
26,Eduardo Snchez,The Blair Witch Project,248600000.0,124240000.0
621,Marc Lawrence,Two Weeks Notice,199000000.0,39500000.0
1745,Marc Lawrence,Music and Lyrics,145900000.0,32950000.0
2094,Marc Lawrence,Did You Hear About the Morgans?,85300000.0,-15350000.0
199,Curtis Hanson,Wonder Boys,33400000.0,-38300000.0
417,Curtis Hanson,8 Mile,242900000.0,80450000.0
1180,Curtis Hanson,In Her Shoes,83073883.0,6536941.5
1729,Curtis Hanson,Lucky You,8382477.0,-50808761.5
2768,Curtis Hanson,Chasing Mavericks,8300000.0,-15850000.0
2599,Mike Disa,Hoodwinked Too! Hood vs. Evil,16960968.0,-21519516.0
1473,John Bonito,The Marine,22100000.0,-3950000.0
1474,John Bonito,The Marine,22100000.0,-3950000.0
3021,Jennifer Lee,Frozen,1276000000.0,488000000.0
2715,Don Hall,Winnie the Pooh,50100000.0,-4950000.0
3350,Don Hall,Big Hero 6,657800000.0,163900000.0
168,Chris Koch,Snow Day,62500000.0,18250000.0
715,Chris Koch,A Guy Thing,17432163.0,-11283918.5
2597,Spencer Susser,Hesher,449702.0,-6775149.0
78,Doug Aarniokoski,Highlander: Endgame,15800000.0,-17100000.0
79,Doug Aarniokoski,Highlander: Endgame,15800000.0,-17100000.0
28,Robert Iscove,Boys and Girls,25850615.0,-22074692.5
708,Robert Iscove,From Justin to Kelly,4900000.0,-9550000.0
2526,Jodie Foster,The Beaver,6400000.0,-17800000.0
3550,Jodie Foster,Money Monster,93300000.0,19650000.0
1290,Mike Binder,The Upside of Anger,28237190.0,2118595.0
1773,Mike Binder,Reign Over Me,22200000.0,-8900000.0
3385,Mike Binder,Black or White,21700000.0,1850000.0
514,Nick Cassavetes,John Q.,102244770.0,15122385.0
992,Nick Cassavetes,The Notebook,115600000.0,28800000.0
2189,Nick Cassavetes,My Sister's Keeper,95700000.0,17850000.0
3256,Nick Cassavetes,The Other Woman,196700000.0,58350000.0
836,Rob Schmidt,Wrong Turn,28700000.0,1750000.0
721,Rob Zombie,House of 1000 Corpses,16800000.0,1400000.0
722,Rob Zombie,House of 1000 Corpses,16800000.0,1400000.0
1122,Rob Zombie,The Devil's Rejects,19400000.0,2700000.0
1678,Rob Zombie,Grindhouse,25400000.0,-40300000.0
1681,Rob Zombie,Halloween,80200000.0,25100000.0
1682,Rob Zombie,Halloween,80200000.0,25100000.0
2128,Rob Zombie,Halloween II,39300000.0,4650000.0
3095,Rob Zombie,The Lords of Salem,1544989.0,-727505.5
2759,Brenda Chapman,Brave,540400000.0,85200000.0
1775,Robert Ben Garant,Reno 911!: Miami,22000000.0,1000000.0
3047,Robert Ben Garant,Hell Baby,8785.0,-2495607.5
21,Raja Gosnell,Big Momma's House,173959438.0,56979719.0
22,Raja Gosnell,Big Momma's House,173959438.0,56979719.0
572,Raja Gosnell,Scooby-Doo,275700000.0,53850000.0
573,Raja Gosnell,Scooby-Doo,275700000.0,53850000.0
1014,Raja Gosnell,Scooby-Doo 2: Monsters Unleashed,181500000.0,65750000.0
1304,Raja Gosnell,"Yours, Mine & Ours",72000000.0,-9000000.0
1849,Raja Gosnell,Beverly Hills Chihuahua,149300000.0,54650000.0
2677,Raja Gosnell,The Smurfs,563700000.0,171850000.0
2678,Raja Gosnell,The Smurfs,563700000.0,171850000.0
3160,Raja Gosnell,The Smurfs 2,347500000.0,68750000.0
1578,Arthur Penn,Bonnie and Clyde,70000000.0,32500000.0
56,James Algar,Fantasia 2000,90900000.0,-34550000.0
57,James Algar,Fantasia 2000,90900000.0,-34550000.0
58,James Algar,Fantasia,76400000.0,35920000.0
1327,James Algar,Bambi,267400000.0,132842000.0
663,John Sayles,Casa de los Babys,475940.0,-562030.0
3325,Craig Johnson,The Skeleton Twins,5700000.0,1850000.0
1021,Conrad Vernon,Shrek 2,919800000.0,309900000.0
1022,Conrad Vernon,Shrek 2,919800000.0,309900000.0
2184,Conrad Vernon,Monsters vs. Aliens,381500000.0,15750000.0
2846,Conrad Vernon,Madagascar 3: Europe's Most Wanted,746900000.0,228450000.0
3590,Conrad Vernon,Sausage Party,140700000.0,51350000.0
2514,Mike Cahill,Another Earth,1800000.0,800000.0
3292,Mike Cahill,I Origins,475591.0,-762204.5
1612,Joby Harold,Awake,32700000.0,7750000.0
1926,Patricia Rozema,Kit Kittredge: An American Girl,17657973.0,-1171013.5
1489,Jeff Broadstreet,Night of the Living Dead 3D,1553837.0,26918.5
1674,Mark Helfrich,Good Luck Chuck,59200000.0,4600000.0
2871,Jason Moore,Pitch Perfect,115400000.0,40700000.0
263,J S Cardone,The Forsaken,8704851.0,-10647574.5
2947,David Lowery,Ain't Them Bodies Saints,1000000.0,-3500000.0
3589,David Lowery,Pete's Dragon,143700000.0,6850000.0
377,John Whitesell,See Spot Run,43057522.0,5528761.0
756,John Whitesell,Malibu's Most Wanted,34622504.0,2311252.0
1335,John Whitesell,Big Momma's House 2,138300000.0,29150000.0
1336,John Whitesell,Big Momma's House 2,138300000.0,29150000.0
1373,John Whitesell,Deck the Halls,46800000.0,-27600000.0
2529,John Whitesell,"Big Mommas: Like Father, Like Son",83900000.0,9950000.0
357,Sean Penn,The Pledge,29400000.0,-20300000.0
1707,Sean Penn,Into the Wild,56300000.0,13150000.0
545,David Fincher,Panic Room,196400000.0,50200000.0
1833,David Fincher,Zodiac,84800000.0,-22600000.0
1865,David Fincher,The Curious Case of Benjamin Button,333900000.0,-50000.0
2462,David Fincher,The Social Network,224900000.0,72450000.0
2580,David Fincher,The Girl with the Dragon Tattoo,232600000.0,26300000.0
3333,David Fincher,Gone Girl,369300000.0,123650000.0
105,John Gunn,Mercy Streets,173599.0,-513200.5
1924,Eric Brevig,Journey to the Center of the Earth,242000000.0,61000000.0
2501,Eric Brevig,Yogi Bear,201600000.0,20800000.0
807,David Dobkin,Shanghai Knights,88300000.0,-5850000.0
1296,David Dobkin,Wedding Crashers,285200000.0,102600000.0
1664,David Dobkin,Fred Claus,97800000.0,-51100000.0
1744,David Dobkin,Mr. Woodcock,33600000.0,-5200000.0
2542,David Dobkin,The Change-Up,75500000.0,-14250000.0
3339,David Dobkin,The Judge,84400000.0,-7800000.0
624,Adrian Lyne,Unfaithful,119137784.0,9568892.0
948,John Sanford,Home on the Range,103900000.0,-58050000.0
3157,Destin Daniel Cretton,Short Term 12,2300000.0,150000.0
2345,Heidi Ewing,Freakonomics,103735.0,-2848132.5
3234,E L Katz,Cheap Thrills,59424.0,-70288.0
94,Uli Edel,The Little Vampire,27965865.0,-21017067.5
1342,Larry Charles,Borat,261600000.0,112800000.0
1981,Larry Charles,Religulous,13900000.0,4450000.0
2792,Larry Charles,The Dictator,179400000.0,24700000.0
1395,Sidney Lumet,Find Me Guilty,2600000.0,-11700000.0
1616,Sidney Lumet,Before the Devil Knows You're Dead,25000000.0,-5500000.0
3476,Peter Sohn,The Good Dinosaur,332200000.0,-8900000.0
741,Wolfgang Reitherman,The Jungle Book,205800000.0,98900000.0
960,Bill Condon,Kinsey,16900000.0,-2550000.0
1380,Bill Condon,Dreamgirls,154800000.0,-2600000.0
3017,Bill Condon,The Fifth Estate,8600000.0,-23700000.0
3314,R J Cutler,If I Stay,78900000.0,28450000.0
773,Patty Jenkins,Monster,60400000.0,22200000.0
2419,Susanna White,Nanny McPhee and the Big Bang,93251121.0,11625560.5
332,Stephen Sommers,The Mummy Returns,433000000.0,118500000.0
333,Stephen Sommers,The Mummy Returns,433000000.0,118500000.0
334,Stephen Sommers,The Mummy,415900000.0,127950000.0
1054,Stephen Sommers,Van Helsing,300300000.0,-9850000.0
2118,Stephen Sommers,G.I. Joe: The Rise of Cobra,302500000.0,-23750000.0
2119,Stephen Sommers,G.I. Joe: The Rise of Cobra,302500000.0,-23750000.0
1038,Richard Day,Straight-Jacket,45497.0,-1477251.5
1112,Thomas Carter,Coach Carter,76700000.0,8350000.0
595,Stuart Baird,Star Trek: Nemesis,67300000.0,-26350000.0
596,Stuart Baird,Star Trek: Nemesis,67300000.0,-26350000.0
386,Stephen Carpenter,Soul Survivors,4299141.0,-14850429.5
1665,Richard LaGravenese,Freedom Writers,43100000.0,550000.0
1757,Richard LaGravenese,P.S. I Love You,156835339.0,48417669.5
2958,Richard LaGravenese,Beautiful Creatures,60100000.0,-29950000.0
3398,Richard LaGravenese,The Last Five Years,145427.0,-1927286.5
1367,Aaron Seltzer,Date Movie,84800000.0,22400000.0
1653,Aaron Seltzer,Epic Movie,86900000.0,23450000.0
1877,Aaron Seltzer,Disaster Movie,34800000.0,-2600000.0
1945,Aaron Seltzer,Meet the Spartans,84600000.0,12300000.0
2488,Aaron Seltzer,Vampires Suck,80500000.0,20250000.0
3168,Aaron Seltzer,The Starving Games,3800000.0,-2730000.0
3445,Henry Hobson,Maggie,1394052.0,-3802974.0
2508,Jonathan Levine,50/50,41100000.0,12550000.0
3187,Jonathan Levine,Warm Bodies,117000000.0,23500000.0
789,P J Hogan,Peter Pan,122000000.0,-69000000.0
2085,P J Hogan,Confessions of a Shopaholic,108300000.0,-850000.0
382,Vicky Jenson,Shrek,484400000.0,182200000.0
383,Vicky Jenson,Shrek,484400000.0,182200000.0
1019,Vicky Jenson,Shark Tale,367300000.0,108650000.0
2214,Vicky Jenson,Post Grad,6414729.0,-11792635.5
2692,Jeff Nichols,Take Shelter,5000000.0,-2250000.0
3111,Jeff Nichols,Mud,32600000.0,6300000.0
3525,Jeff Nichols,Midnight Special,6200000.0,-14900000.0
1259,Darren Lynn Bousman,Saw II,147700000.0,69850000.0
1260,Darren Lynn Bousman,Saw II,147700000.0,69850000.0
1982,Darren Lynn Bousman,Repo! The Genetic Opera,188126.0,-8405937.0
1066,Gilles Mimouni,The Apartment,1100000.0,-4150000.0
2396,Mel Damski,Legendary,200393.0,-4899803.5
1615,Steve Hickner,Bee Movie,287600000.0,-6200000.0
484,Julie Taymor,Frida,56300000.0,16150000.0
1601,Julie Taymor,Across the Universe,29400000.0,-56100000.0
2474,Julie Taymor,The Tempest,346594.0,-19826703.0
1199,Shane Black,Kiss Kiss Bang Bang,15800000.0,-7100000.0
3070,Shane Black,Iron Man 3,1215000000.0,407500000.0
3555,Shane Black,The Nice Guys,57300000.0,-21350000.0
1995,Masayuki Ochiai,Shutter,47879410.0,15939705.0
80,Andrew Morahan,Highlander: The Final Dimension,12300000.0,-19850000.0
560,Clyde Geronimi,Peter Pan,87400000.0,39700000.0
3410,Clyde Geronimi,Cinderella,263600000.0,128900000.0
1598,David Slade,30 Days of Night,75500000.0,7750000.0
2333,David Slade,The Twilight Saga: Eclipse,698500000.0,281250000.0
2334,David Slade,The Twilight Saga: Eclipse,698500000.0,281250000.0
835,James Cox,Wonderland,2466444.0,-4266778.0
3170,James Cox,Straight A's,5234456.0,617228.0
3284,Dinesh DSouza,America: Imagine the World Without Her,14400000.0,2200000.0
1459,Larry Fessenden,The Last Winter,97522.0,-6951239.0
249,Richard Kelly,Donnie Darko,7300000.0,-850000.0
2072,Richard Kelly,The Box,33300000.0,-13350000.0
2668,Bruce Robinson,The Rum Diary,23900000.0,-33050000.0
1220,Randall Miller,Marilyn Hotchkiss' Ballroom Dancing and Charm School,404870.0,-2297565.0
1753,Randall Miller,Nobel Son,545582.0,-3727209.0
226,Henry Bean,The Believer,1300000.0,-850000.0
1221,Richard Shepard,The Matador,17300000.0,-3850000.0
1697,Richard Shepard,The Hunting Party,969869.0,-39515065.5
809,Patrick Gilmore,Sinbad: Legend of the Seven Seas,80700000.0,-19650000.0
285,Jesse Dylan,How High,31283790.0,-4358105.0
642,Jesse Dylan,American Wedding,231449203.0,60724601.5
643,Jesse Dylan,American Wedding,231449203.0,60724601.5
1193,Jesse Dylan,Kicking & Screaming,56100000.0,-16950000.0
1427,Allen Coulter,Hollywoodland,16800000.0,-19600000.0
2444,Allen Coulter,Remember Me,56032889.0,12016444.5
821,Marcus Nispel,The Texas Chainsaw Massacre,107100000.0,44050000.0
822,Marcus Nispel,The Texas Chainsaw Massacre,107100000.0,44050000.0
1761,Marcus Nispel,Pathfinder,30800000.0,-29600000.0
2115,Marcus Nispel,Friday the 13th,91300000.0,26650000.0
2545,Marcus Nispel,Conan the Barbarian,48800000.0,-65600000.0
29,Peyton Reed,Bring It On,90400000.0,34200000.0
686,Peyton Reed,Down with Love,39500000.0,-15250000.0
1344,Peyton Reed,The Break-Up,205700000.0,50850000.0
2041,Peyton Reed,Yes Man,223200000.0,41600000.0
3465,Peyton Reed,Ant-Man,519300000.0,129650000.0
499,Carl Franklin,High Crimes,63800000.0,-10100000.0
785,Carl Franklin,Out of Time,55500000.0,-22250000.0
2748,Benh Zeitlin,Beasts of the Southern Wild,21900000.0,9150000.0
183,John Ottman,Urban Legends: Final Cut,38600000.0,5300000.0
324,Henry Selick,Monkeybone,7600000.0,-71200000.0
2086,Henry Selick,Coraline,124600000.0,2300000.0
252,Warren Beatty,Heaven Can Wait,81600000.0,25800000.0
126,Alain Berliner,Passion of Mind,769272.0,-11615364.0
2167,Dennis Iliadis,The Last House on the Left,45200000.0,7600000.0
558,Rob Bowman,Reign of Fire,82150000.0,-18925000.0
1133,Rob Bowman,Elektra,56700000.0,-14650000.0
2040,Rob Bowman,The X-Files,189200000.0,28600000.0
1097,Stephen T Kay,Boogeyman,67000000.0,13500000.0
1840,Nanette Burstein,American Teen,1130270.0,-4434865.0
2352,Nanette Burstein,Going the Distance,42100000.0,-10950000.0
1309,Steve Pink,Accepted,38500000.0,-3750000.0
2364,Steve Pink,Hot Tub Time Machine,64600000.0,-3700000.0
2365,Steve Pink,Hot Tub Time Machine,64600000.0,-3700000.0
3215,Steve Pink,About Last Night,49000000.0,12000000.0
3400,Steve Pink,Hot Tub Time Machine 2,13100000.0,-7450000.0
3447,Elizabeth Banks,Pitch Perfect 2,287500000.0,114750000.0
579,Kurt Hale,The Singles Ward,1250798.0,125399.0
1602,The Brothers Strause,Aliens vs. Predator: Requiem,128900000.0,24450000.0
2461,The Brothers Strause,Skyline,78693371.0,29346685.5
2625,Brad Furman,The Lincoln Lawyer,87100000.0,3550000.0
3151,Brad Furman,Runner Runner,62700000.0,1350000.0
3576,Brad Furman,The Infiltrator,18300000.0,-18850000.0
1050,Joseph Kahn,Torque,46546197.0,-16726901.5
393,Pat OConnor,Sweet November,65754228.0,-7122886.0
3342,Peter Sattler,Camp X-Ray,60581.0,-969709.5
387,Tony Scott,Spy Game,143000000.0,-43500000.0
968,Tony Scott,Man on Fire,130300000.0,-4850000.0
1127,Tony Scott,Domino,22944502.0,-38527749.0
2243,Tony Scott,The Taking of Pelham 123,150200000.0,-24900000.0
2486,Tony Scott,Unstoppable,167800000.0,-1100000.0
2651,Nick Tomnay,The Perfect Host,48764.0,-475618.0
305,Doug McHenry,Kingdom Come,23396049.0,4698024.5
267,Tommy OHaver,Get Over It,19900000.0,-12050000.0
913,Tommy OHaver,Ella Enchanted,27400000.0,-17300000.0
302,JeanMarie Poir,Les Visiteurs,98800000.0,39900000.0
2430,Mitch Glazer,Passion Play,3669.0,-14998165.5
3321,Sam Miller,No Good Deed,54300000.0,13950000.0
3541,Cedric NicolasTroyan,The Huntsman: Winter's War,165000000.0,-32500000.0
878,Paul Greengrass,The Bourne Supremacy,288500000.0,69250000.0
1574,Paul Greengrass,United 93,76300000.0,23150000.0
1575,Paul Greengrass,United 93,76300000.0,23150000.0
1620,Paul Greengrass,The Bourne Ultimatum,442800000.0,111400000.0
1621,Paul Greengrass,The Bourne Ultimatum,442800000.0,111400000.0
2355,Paul Greengrass,Green Zone,94900000.0,-52550000.0
2981,Paul Greengrass,Captain Phillips,218800000.0,54400000.0
3583,Paul Greengrass,Jason Bourne,415500000.0,87750000.0
3584,Paul Greengrass,Bourne,1636988243.0,328494121.5
58,Ben Sharpsteen,Fantasia,76400000.0,35920000.0
1678,Quentin Tarantino Death Proof,Grindhouse,25400000.0,-40300000.0
1693,Xavier Gens,Hitman,100000000.0,26000000.0
736,Ethan Coen,Intolerable Cruelty,120200000.0,100000.0
962,Ethan Coen,The Ladykillers,76700000.0,3350000.0
1750,Ethan Coen,No Country for Old Men,171600000.0,60800000.0
1853,Ethan Coen,Burn After Reading,163700000.0,44850000.0
2226,Ethan Coen,A Serious Man,31400000.0,8700000.0
2484,Ethan Coen,True Grit,252300000.0,88150000.0
3066,Ethan Coen,Inside Llewyn Davis,32900000.0,5450000.0
3503,Ethan Coen,"Hail, Caesar!",63600000.0,9800000.0
3212,Tom Gormican,That Awkward Moment,40500000.0,12250000.0
2886,Jake Schreier,Robot & Frank,4900000.0,-50000.0
752,Joe Dante,Looney Tunes: Back in Action,68500000.0,-45750000.0
2136,Joe Dante,The Hole,10362785.0,-6818607.5
2435,Joe Dante,Piranha,16000000.0,7230000.0
378,Peter Chelsom,Serendipity,77516304.0,10758152.0
402,Peter Chelsom,Town & Country,10400000.0,-84800000.0
1018,Peter Chelsom,Shall We Dance?,170100000.0,35050000.0
2130,Peter Chelsom,Hannah Montana: The Movie,155500000.0,47750000.0
0,Kevin Lima,102 Dalmatians,183600000.0,6800000.0
1652,Kevin Lima,Enchanted,340500000.0,85250000.0
146,Todd Phillips,Road Trip,119800000.0,43900000.0
779,Todd Phillips,Old School,87000000.0,19500000.0
1035,Todd Phillips,Starsky & Hutch,170268750.0,25134375.0
1533,Todd Phillips,School for Scoundrels,23947685.0,-23026157.5
2129,Todd Phillips,The Hangover,467500000.0,198750000.0
2330,Todd Phillips,Due Date,211800000.0,40900000.0
2588,Todd Phillips,The Hangover Part II,586800000.0,213400000.0
2589,Todd Phillips,The Hangover,467500000.0,198750000.0
3039,Todd Phillips,The Hangover Part III,362000000.0,78000000.0
3040,Todd Phillips,The Hangover Part II,586800000.0,213400000.0
3594,Todd Phillips,War Dogs,86200000.0,3100000.0
2204,Steve Shill,Obsessed,73800000.0,16900000.0
216,Paul Weitz,American Pie,235483004.0,106741502.0
251,Paul Weitz,Down to Earth,71200000.0,-13400000.0
419,Paul Weitz,About a Boy,130549455.0,35274727.5
1313,Paul Weitz,American Dreamz,16458459.0,-8770770.5
2080,Paul Weitz,Cirque du Freak: The Vampire's Assistant,39232113.0,-20383943.5
2405,Paul Weitz,Little Fockers,310700000.0,55350000.0
2944,Paul Weitz,Admission,18637201.0,-3681399.5
1915,Fred Wolf,The House Bunny,70400000.0,10200000.0
2009,Fred Wolf,Strange Wilderness,6900000.0,-16550000.0
1283,Mike Mills,Thumbsucker,1919197.0,-3040401.5
2527,Mike Mills,Beginners,14300000.0,3950000.0
278,Chris Columbus,Harry Potter and the Philosopher's Stone,974800000.0,362400000.0
495,Chris Columbus,Harry Potter and the Chamber of Secrets,879000000.0,339500000.0
496,Chris Columbus,Harry Potter and the Chamber of Secrets,879000000.0,339500000.0
1251,Chris Columbus,Rent,31600000.0,-24200000.0
2145,Chris Columbus,"I Love You, Beth Cooper",15800000.0,-10100000.0
2431,Chris Columbus,Percy Jackson & the Olympians: The Lightning Thief,226500000.0,18250000.0
2432,Chris Columbus,Percy Jackson & the Olympians: The Lightning Thief,226500000.0,18250000.0
3467,Chris Columbus,Pixels,244900000.0,-6550000.0
3272,Robert Stromberg,Maleficent,758500000.0,199250000.0
3395,Sam TaylorJohnson,Fifty Shades of Grey,571000000.0,245500000.0
3396,Sam TaylorJohnson,Fifty Shades of Grey,571000000.0,245500000.0
2964,Justin Zackham,The Big Wedding,46519348.0,-11740326.0
2985,Kris Pearn,Cloudy with a Chance of Meatballs 2,274300000.0,59150000.0
2631,Sean Durkin,Martha Marcy May Marlene,5400000.0,1700000.0
314,Robert Luketic,Legally Blonde,141800000.0,52900000.0
315,Robert Luketic,Legally Blonde,141800000.0,52900000.0
1067,Robert Luketic,Win a Date with Tad Hamilton!,21300000.0,-11350000.0
1227,Robert Luketic,Monster-in-Law,154749918.0,33374959.0
1835,Robert Luketic,21,157900000.0,43950000.0
2256,Robert Luketic,The Ugly Truth,205298907.0,64649453.5
2388,Robert Luketic,Killers,98000000.0,-26000000.0
3127,Robert Luketic,Paranoia,13800000.0,-8100000.0
1019,Rob Letterman,Shark Tale,367300000.0,108650000.0
2184,Rob Letterman,Monsters vs. Aliens,381500000.0,15750000.0
2358,Rob Letterman,Gulliver's Travels,237400000.0,6700000.0
14,Roger Christian,Battlefield Earth,29700000.0,-58150000.0
2183,Zach Cregger,Miss March,4600000.0,-3700000.0
3204,Matt BettinelliOlpin,Devil's Due,36900000.0,11450000.0
3418,Daniel Benmayor,Tracers,593683.0,-10703158.5
2316,The Spierig Brothers,Daybreakers,51400000.0,5700000.0
2327,Francis Veber,The Dinner Game,65400000.0,20200000.0
2684,Duncan Jones,Source Code,147300000.0,41650000.0
3562,Duncan Jones,Warcraft,433700000.0,56850000.0
1879,John Patrick Shanley,Doubt,50900000.0,5450000.0
1169,Todd Edwards Codirector,Hoodwinked!,110000000.0,47000000.0
1170,Todd Edwards Codirector,Hoodwinked!,110000000.0,47000000.0
195,Peter M Cohen,Whipped,4800000.0,-600000.0
915,Michel Gondry,Eternal Sunshine of the Spotless Mind,72300000.0,16150000.0
