,title_clean,profit_class,revenues_clean,gross_profit,return,costs_clean,release_date,release_week,length_clean,main_topic,site,number_topic
62,Frequency,1.0,68100000.0,3050000.0,0.0983870967742,31000000.0,2000-04-28,17.0,118,lda_topic_330,https://en.wikipedia.org/wiki/Frequency_(film),22
63,Get Carter,0.0,19412993.0,-53893503.5,-0.847382130503,63600000.0,2000-10-06,40.0,102.0,lda_topic_115,https://en.wikipedia.org/wiki/Get_Carter_(2000_film),3
64,The Gift,1.0,44600000.0,12300000.0,1.23,10000000.0,2000-12-22,51.0,111,lda_topic_497,https://en.wikipedia.org/wiki/The_Gift_(2000_film),50
65,The Girl,,104883.0,,,,2001-04-20,16.0,84,lda_topic_497,https://en.wikipedia.org/wiki/The_Girl_(2000_film),50
66,Girlfight,0.0,1700000.0,-150000.0,-0.15,1000000.0,2000-09-29,39.0,110,lda_topic_254,https://en.wikipedia.org/wiki/Girlfight,12
67,Gladiator,1.0,457600000.0,125800000.0,1.2213592233,103000000.0,2000-05-12,19.0,155.0,lda_topic_497,https://en.wikipedia.org/wiki/Gladiator_(2000_film),50
68,The Golden Bowl,0.0,5753678.0,-12123161.0,-0.808210733333,15000000.0,2001-04-27,17.0,130,lda_topic_497,https://en.wikipedia.org/wiki/The_Golden_Bowl_(film),50
69,Gone in 60 Seconds,1.0,237200000.0,28600000.0,0.317777777778,90000000.0,2000-06-09,23.0,11812.0,lda_topic_229,https://en.wikipedia.org/wiki/Gone_in_60_Seconds_(2000_film),11
71,Gossip,0.0,12591270.0,-17704365.0,-0.737681875,24000000.0,2000-04-21,16.0,90,lda_topic_68,https://en.wikipedia.org/wiki/Gossip_(2000_American_film),53
72,Gun Shy,0.0,3221280.0,-12389360.0,-0.884954285714,14000000.0,2000-02-04,5.0,101,lda_topic_77,https://en.wikipedia.org/wiki/Gun_Shy_(film),55
73,Hamlet,,2046433.0,,,,2000-05-12,19.0,112,lda_topic_497,https://en.wikipedia.org/wiki/Hamlet_(2000_film),50
74,Hanging Up,0.0,51880044.0,-14059978.0,-0.35149945,40000000.0,2000-02-18,7.0,94,lda_topic_68,https://en.wikipedia.org/wiki/Hanging_Up,53
75,Held Up,0.0,4705631.0,-5647184.5,-0.7058980625,8000000.0,2000-05-12,19.0,89,lda_topic_497,https://en.wikipedia.org/wiki/Held_Up,50
76,Here on Earth,0.0,10873148.0,-9563426.0,-0.637561733333,15000000.0,2000-03-24,12.0,96,lda_topic_68,https://en.wikipedia.org/wiki/Here_on_Earth_(film),53
77,High Fidelity,0.0,47100000.0,-6450000.0,-0.215,30000000.0,2000-03-31,13.0,113,lda_topic_68,https://en.wikipedia.org/wiki/High_Fidelity_(film),53
78,Highlander: Endgame,0.0,15800000.0,-17100000.0,-0.684,25000000.0,2000-09-01,35.0,87,lda_topic_429,https://en.wikipedia.org/wiki/Highlander:_Endgame,40
80,Highlander: The Final Dimension,0.0,12300000.0,-19850000.0,-0.763461538462,26000000.0,1995-01-27,4.0,99,lda_topic_77,https://en.wikipedia.org/wiki/Highlander_III:_The_Sorcerer,55
81,Hollow Man,1.0,190200000.0,100000.0,0.00105263157895,95000000.0,2000-08-04,31.0,112.0,lda_topic_100,https://en.wikipedia.org/wiki/Hollow_Man,0
82,Dr. Seuss' How the Grinch Stole Christmas,1.0,345100000.0,49550000.0,0.402845528455,123000000.0,2000-11-17,46.0,104.0,lda_topic_497,https://en.wikipedia.org/wiki/Dr._Seuss%27_How_the_Grinch_Stole_Christmas_(2000_film),50
83,How To Kill Your Neighbor's Dog,1.0,48564.0,16982.0,2.32630136986,7300.0,2002-02-22,8.0,107,lda_topic_497,https://en.wikipedia.org/wiki/How_to_Kill_Your_Neighbor%27s_Dog,50
84,I Dreamed of Africa,0.0,14400327.0,-42799836.5,-0.85599673,50000000.0,2000-05-05,18.0,114,lda_topic_497,https://en.wikipedia.org/wiki/I_Dreamed_of_Africa,50
85,The In Crowd,0.0,5280035.0,-21359982.5,-0.889999270833,24000000.0,2000-07-19,29.0,105.0,lda_topic_87,https://en.wikipedia.org/wiki/The_In_Crowd_(2000_film),57
86,Isn't She Great,0.0,3003296.0,-42498352.0,-0.965871636364,44000000.0,2000-01-28,4.0,95,lda_topic_497,https://en.wikipedia.org/wiki/Isn%27t_She_Great,50
87,Ivans Xtc,0.0,47027.0,-112486.5,-0.827106617647,136000.0,2002-07-19,29.0,93,lda_topic_497,https://en.wikipedia.org/wiki/Ivans_Xtc,50
88,Joe Gould's Secret,,468684.0,,,,2000-05-26,21.0,104,lda_topic_68,https://en.wikipedia.org/wiki/Joe_Gould%27s_Secret_(film),53
89,Keeping the Faith,1.0,59900000.0,950000.0,0.0327586206897,29000000.0,2000-04-14,15.0,128,lda_topic_497,https://en.wikipedia.org/wiki/Keeping_the_Faith,50
90,The Kid,0.0,110300000.0,-9850000.0,-0.151538461538,65000000.0,2000-07-07,27.0,104.0,lda_topic_345,https://en.wikipedia.org/wiki/Disney%27s_The_Kid_(2000_film),25
91,The Ladies Man,,,,,3100000.0,1961-06-28,26.0,106,lda_topic_497,https://en.wikipedia.org/wiki/The_Ladies_Man,50
92,The Legend of Bagger Vance,0.0,39500000.0,-60250000.0,-0.753125,80000000.0,2000-11-03,44.0,126.0,lda_topic_68,https://en.wikipedia.org/wiki/The_Legend_of_Bagger_Vance,53
93,Little Nicky,0.0,58300000.0,-55850000.0,-0.657058823529,85000000.0,2000-11-10,45.0,90,lda_topic_73,https://en.wikipedia.org/wiki/Little_Nicky,54
94,The Little Vampire,0.0,27965865.0,-21017067.5,-0.600487642857,35000000.0,,,95,lda_topic_68,https://en.wikipedia.org/wiki/The_Little_Vampire_(film),53
95,Loser,0.0,18400000.0,-10800000.0,-0.54,20000000.0,,,951,lda_topic_497,https://en.wikipedia.org/wiki/Loser_(film),50
96,Lost Souls,0.0,31355910.0,-34322045.0,-0.6864409,50000000.0,2000-10-13,41.0,97,lda_topic_497,https://en.wikipedia.org/wiki/Lost_Souls_(film),50
97,Love & Basketball,0.0,27728118.0,-6135941.0,-0.30679705,20000000.0,2000-04-21,16.0,124,lda_topic_497,https://en.wikipedia.org/wiki/Love_%26_Basketball,50
98,Lucky Numbers,0.0,10890222.0,-57554889.0,-0.913569666667,63000000.0,2000-10-27,43.0,105,lda_topic_497,https://en.wikipedia.org/wiki/Lucky_Numbers,50
99,Maze,,16974.0,,,,2001-11-09,45.0,98,lda_topic_497,https://en.wikipedia.org/wiki/Maze_(film),50
100,"Me, Myself & Irene",1.0,149270999.0,23635499.5,0.463441166667,51000000.0,2000-06-23,25.0,116,lda_topic_68,"https://en.wikipedia.org/wiki/Me,_Myself_%26_Irene",53
101,Meet the Parents,1.0,330400000.0,110200000.0,2.00363636364,55000000.0,2000-10-06,40.0,108,lda_topic_81,https://en.wikipedia.org/wiki/Meet_the_Parents,56
103,Memento,1.0,39700000.0,10850000.0,1.20555555556,9000000.0,2001-03-16,11.0,113.0,lda_topic_68,https://en.wikipedia.org/wiki/Memento_(film),53
104,Men of Honor,1.0,82343495.0,9171747.5,0.286617109375,32000000.0,2000-11-10,45.0,129,lda_topic_408,https://en.wikipedia.org/wiki/Men_of_Honor,37
105,Mercy Streets,0.0,173599.0,-513200.5,-0.855334166667,600000.0,2000-10-31,44.0,106,lda_topic_497,https://en.wikipedia.org/wiki/Mercy_Streets,50
106,The Million Dollar Hotel,0.0,59989.0,-7970005.5,-0.9962506875,8000000.0,,,122,lda_topic_497,https://en.wikipedia.org/wiki/The_Million_Dollar_Hotel,50
107,Miss Congeniality,1.0,212800000.0,61400000.0,1.36444444444,45000000.0,2000-12-22,51.0,110,lda_topic_104,https://en.wikipedia.org/wiki/Miss_Congeniality_(film),1
109,Mission to Mars,0.0,111000000.0,-44500000.0,-0.445,100000000.0,2000-03-10,10.0,113,lda_topic_77,https://en.wikipedia.org/wiki/Mission_to_Mars,55
110,Mission: Impossible 2,1.0,546400000.0,148200000.0,1.1856,125000000.0,2000-05-24,21.0,123.0,lda_topic_372,https://en.wikipedia.org/wiki/Mission:_Impossible_II,28
