,name,title_clean,revenues_clean,gross_profit,costs_clean
2047,Thandie Newton,2012,769700000.0,184850000.0,200000000.0
2344,Thandie Newton,For Colored Girls,38000000.0,-2000000.0,21000000.0
2814,Thandie Newton,Good Deeds,35600000.0,3800000.0,14000000.0
542,Eriq La Salle,One Hour Photo,52200000.0,14100000.0,12000000.0
1091,Christina Milian,Be Cool,95200000.0,-5400000.0,53000000.0
1515,Christina Milian,Pulse,29907685.0,-5546157.5,20500000.0
1916,Jay Leno,Igor,30700000.0,-9650000.0,25000000.0
1915,Emma Stone,The House Bunny,70400000.0,10200000.0,25000000.0
1985,Emma Stone,The Rocker,8800000.0,-10600000.0,15000000.0
2277,Emma Stone,Zombieland,102400000.0,27600000.0,23600000.0
2331,Emma Stone,Easy A,75000000.0,29500000.0,8000000.0
2413,Emma Stone,Marmaduke,83800000.0,-8100000.0,50000000.0
2550,Emma Stone,"Crazy, Stupid, Love",142900000.0,21450000.0,50000000.0
2596,Emma Stone,The Help,216600000.0,83300000.0,25000000.0
2731,Emma Stone,The Amazing Spider-Man,757900000.0,148950000.0,230000000.0
2993,Emma Stone,The Croods,587200000.0,158600000.0,135000000.0
3025,Emma Stone,Gangster Squad,105200000.0,-22400000.0,75000000.0
3109,Emma Stone,Movie 43,32400000.0,10200000.0,6000000.0
3258,Emma Stone,The Amazing Spider-Man 2,709000000.0,154500000.0,200000000.0
3451,Emma Stone,Aloha,26300000.0,-38850000.0,52000000.0
3633,Emma Stone,La La Land,432700000.0,186350000.0,30000000.0
358,Lance Crouther,Pootie Tang,3300000.0,-5350000.0,7000000.0
3558,Stephen Amell,Teenage Mutant Ninja Turtles: Out of the Shadows,245600000.0,-12200000.0,135000000.0
233,Marley Shelton,Bubble Boy,5000000.0,-10500000.0,13000000.0
390,Marley Shelton,Sugar & Spice,16908947.0,-18545526.5,27000000.0
405,Marley Shelton,Valentine,36700000.0,8350000.0,10000000.0
830,Marley Shelton,Uptown Girls,44600000.0,2300000.0,20000000.0
1678,Marley Shelton,Grindhouse,25400000.0,-40300000.0,53000000.0
2670,Marley Shelton,Scream 4,97100000.0,8550000.0,40000000.0
1649,Thelma Ritter,Rear Window,36800000.0,17400000.0,1000000.0
2674,Noomi Rapace,Sherlock Holmes: A Game of Shadows,545400000.0,147700000.0,125000000.0
2875,Noomi Rapace,Prometheus,403400000.0,81700000.0,120000000.0
2997,Noomi Rapace,Dead Man Down,18100000.0,-20950000.0,30000000.0
384,Stanley Tucci,Sidewalks of New York,3500000.0,750000.0,1000000.0
563,Stanley Tucci,Road to Perdition,181000000.0,10500000.0,80000000.0
674,Stanley Tucci,The Core,74000000.0,-48000000.0,85000000.0
1049,Stanley Tucci,The Terminal,219400000.0,49700000.0,60000000.0
1377,Stanley Tucci,The Devil Wears Prada,326500000.0,122250000.0,41000000.0
