,title_clean,site,revenues_clean,costs_clean,gross_profit,return,profit_class,release_date
320,The Man Who Wasn't There,https://en.wikipedia.org/wiki/The_Man_Who_Wasn%27t_There_(2001_film),18916623.0,20000000.0,-10541688.5,-0.527084425,0.0,2001-11-02
321,Max Keeble's Big Move,https://en.wikipedia.org/wiki/Max_Keeble%27s_Big_Move,18600000.0,25000000.0,-15700000.0,-0.628,0.0,2001-10-05
322,Megiddo: The Omega Code 2,https://en.wikipedia.org/wiki/Megiddo:_The_Omega_Code_2,6047691.0,20000000.0,-16976154.5,-0.848807725,0.0,2001-09-07
323,The Mexican,https://en.wikipedia.org/wiki/The_Mexican,147800000.0,57000000.0,16900000.0,0.29649122807,1.0,2001-03-02
324,Monkeybone,https://en.wikipedia.org/wiki/Monkeybone,7600000.0,75000000.0,-71200000.0,-0.949333333333,0.0,2001-02-23
326,Monster's Ball,https://en.wikipedia.org/wiki/Monster%27s_Ball,44909486.0,4000000.0,18454743.0,4.61368575,1.0,2002-02-08
327,"Monsters, Inc.","https://en.wikipedia.org/wiki/Monsters,_Inc.",577400000.0,115000000.0,173700000.0,1.51043478261,1.0,2001-11-02
330,Moulin Rouge!,https://en.wikipedia.org/wiki/Moulin_Rouge!,179200000.0,52000000.0,37600000.0,0.723076923077,1.0,2001-06-01
331,Mulholland Drive,https://en.wikipedia.org/wiki/Mulholland_Drive_(film),20100000.0,15000000.0,-4950000.0,-0.33,0.0,2001-10-12
332,The Mummy Returns,https://en.wikipedia.org/wiki/The_Mummy_Returns,433000000.0,98000000.0,118500000.0,1.20918367347,1.0,2001-05-04
334,The Mummy,https://en.wikipedia.org/wiki/The_Mummy_(1999_film),415900000.0,80000000.0,127950000.0,1.599375,1.0,1999-05-07
335,The Musketeer,https://en.wikipedia.org/wiki/The_Musketeer,34585771.0,40000000.0,-22707114.5,-0.5676778625,0.0,2001-09-07
336,My Big Fat Greek Wedding,https://en.wikipedia.org/wiki/My_Big_Fat_Greek_Wedding,368700000.0,5000000.0,179350000.0,35.87,1.0,2002-08-16
339,My First Mister,https://en.wikipedia.org/wiki/My_First_Mister,595005.0,5250000.0,-4952497.5,-0.943332857143,0.0,2001-10-12
340,Not Another Teen Movie,https://en.wikipedia.org/wiki/Not_Another_Teen_Movie,66500000.0,15000000.0,18250000.0,1.21666666667,1.0,2001-12-14
341,Novocaine,https://en.wikipedia.org/wiki/Novocaine_(film),2036682.0,6000000.0,-4981659.0,-0.8302765,0.0,2001-09-08
342,O,https://en.wikipedia.org/wiki/O_(film),19210835.0,5000000.0,4605417.5,0.9210835,1.0,2001-08-31
343,Ocean's Eleven,https://en.wikipedia.org/wiki/Ocean%27s_Eleven_(2001_film),450700000.0,85000000.0,140350000.0,1.65117647059,1.0,2001-12-07
346,On the Line,https://en.wikipedia.org/wiki/On_the_Line_(2001_film),4403019.0,16000000.0,-13798490.5,-0.86240565625,0.0,2001-10-26
347,The One,https://en.wikipedia.org/wiki/The_One_(2001_film),72700000.0,30000000.0,6350000.0,0.211666666667,1.0,2001-11-02
348,One Night at McCool's,https://en.wikipedia.org/wiki/One_Night_at_McCool%27s,13500000.0,18000000.0,-11250000.0,-0.625,0.0,2001-04-27
350,Osmosis Jones,https://en.wikipedia.org/wiki/Osmosis_Jones,14000000.0,70000000.0,-63000000.0,-0.9,0.0,2001-08-10
351,The Others,https://en.wikipedia.org/wiki/The_Others_(2001_film),209900000.0,17000000.0,87950000.0,5.17352941176,1.0,2001-12-26
353,Out Cold,https://en.wikipedia.org/wiki/Out_Cold_(2001_film),14800000.0,24000000.0,-16600000.0,-0.691666666667,0.0,2001-11-21
354,Pearl Harbor,https://en.wikipedia.org/wiki/Pearl_Harbor_(film),449200000.0,132200000.0,92400000.0,0.698940998487,1.0,2001-05-25
355,Planet of the Apes,https://en.wikipedia.org/wiki/Planet_of_the_Apes_(2001_film),362200000.0,100000000.0,81100000.0,0.811,1.0,2001-07-27
357,The Pledge,https://en.wikipedia.org/wiki/The_Pledge_(film),29400000.0,35000000.0,-20300000.0,-0.58,0.0,2001-01-19
