,total_rev,total_profit,count,title_names,total_budget,name,return
Samantha Morton,653315074.0,-46442463.0,5,Minority Report**Control**Mr. Lonely**The Messenger**John Carter**,373100000.0,Samantha Morton,-0.124477252747
Katee Sackhoff,153202965.0,22101482.5,4,White Noise: The Light**The Haunting in Connecticut 2: Ghosts of Georgia**Riddick**Oculus**,54500000.0,Katee Sackhoff,0.405531788991
James Caan,983113393.0,148056696.5,7,The Way of the Gun**The Yards**Elf**Get Smart**Cloudy with a Chance of Meatballs**Middle Men**Cloudy with a Chance of Meatballs 2**,343500000.0,James Caan,0.431023861718
Nikolaj Lie Kaas,485900000.0,92950000.0,1,Angels & Demons**,150000000.0,Nikolaj Lie Kaas,0.619666666667
Jake La Botz,113200000.0,6600000.0,1,Rambo**,50000000.0,Jake La Botz,0.132
Irina Bjrklund,67900000.0,13950000.0,1,The American**,20000000.0,Irina Bjrklund,0.6975
James Blackwell,10243159.0,5021579.5,1,Facing the Giants**,100000.0,James Blackwell,50.215795
Lisa Spoonhauer,3200000.0,1572425.0,1,Clerks**,27575.0,Lisa Spoonhauer,57.0235720762
David Spade,1256700000.0,185650000.0,8,The Emperor's New Groove**Joe Dirt**Dickie Roberts: Former Child Star**Racing Stripes**The Benchwarmers**Grown Ups**Hotel Transylvania**Grown Ups 2**,442700000.0,David Spade,0.419358482042
Jeffrey Skilling,4900000.0,1750000.0,1,Enron: The Smartest Guys in the Room**,700000.0,Jeffrey Skilling,2.5
Whitney Houston,24000000.0,-2000000.0,1,Sparkle**,14000000.0,Whitney Houston,-0.142857142857
Michael J Reynolds,76300000.0,23150000.0,1,United 93**,15000000.0,Michael J Reynolds,1.54333333333
Sam Elliott,1585922595.0,-48038702.5,10,The Contender**We Were Soldiers**Hulk**Barnyard**Thank You for Smoking**Ghost Rider**The Golden Compass**Did You Hear About the Morgans?**Draft Day**The Good Dinosaur**,841000000.0,Sam Elliott,-0.05712093044
Gloria Foster,742100000.0,244050000.0,1,The Matrix Reloaded**,127000000.0,Gloria Foster,1.92165354331
Brian Boland,177500000.0,85750000.0,1,Paranormal Activity 2**,3000000.0,Brian Boland,28.5833333333
Chris Massoglia,49594898.0,-27202551.0,2,Cirque du Freak: The Vampire's Assistant**The Hole**,52000000.0,Chris Massoglia,-0.523125980769
Pell James,1100000.0,-8450000.0,1,Undiscovered**,9000000.0,Pell James,-0.938888888889
Miguel Angel Suarez,260562.0,-24869719.0,1,Under Suspicion**,25000000.0,Miguel Angel Suarez,-0.99478876
Thandie Newton,2106900000.0,381850000.0,10,Mission: Impossible 2**The Truth About Charlie**The Chronicles of Riddick**Crash**The Pursuit of Happyness**Norbit**W.**2012**For Colored Girls**Good Deeds**,671600000.0,Thandie Newton,0.568567599762
Eriq La Salle,52200000.0,14100000.0,1,One Hour Photo**,12000000.0,Eriq La Salle,1.175
Ludacris,1392000000.0,312500000.0,6,2 Fast 2 Furious**Crash**Max Payne**Gamer**New Year's Eve**Fast & Furious 6**,383500000.0,Ludacris,0.814863102999
Jay Leno,30700000.0,-9650000.0,1,Igor**,25000000.0,Jay Leno,-0.386
Emma Stone,3571500000.0,824350000.0,16,"Superbad**The House Bunny**The Rocker**Zombieland**Easy A**Marmaduke**Crazy, Stupid, Love**The Help**The Amazing Spider-Man**The Croods**Gangster Squad**Movie 43**The Amazing Spider-Man 2**Magic in the Moonlight**Aloha**La La Land**",961400000.0,Emma Stone,0.857447472436
NeYo,337711123.0,27855561.5,3,Stomp the Yard**Battle: Los Angeles**Red Tails**,141000000.0,NeYo,0.197557173759
Stephen Amell,245600000.0,-12200000.0,1,Teenage Mutant Ninja Turtles: Out of the Shadows**,135000000.0,Stephen Amell,-0.0903703703704
Marley Shelton,225708947.0,-50145526.5,6,Bubble Boy**Sugar & Spice**Valentine**Uptown Girls**Grindhouse**Scream 4**,163000000.0,Marley Shelton,-0.307641266871
Nate Torrence,1073800000.0,366900000.0,2,She's Out of My League**Zootopia**,170000000.0,Nate Torrence,2.15823529412
Thelma Ritter,36800000.0,17400000.0,1,Rear Window**,1000000.0,Thelma Ritter,17.4
Noomi Rapace,966900000.0,208450000.0,3,Sherlock Holmes: A Game of Shadows**Prometheus**Dead Man Down**,275000000.0,Noomi Rapace,0.758
Stanley Tucci,4994116612.0,997558306.0,24,Sidewalks of New York**Road to Perdition**The Core**Shall We Dance?**The Terminal**The Devil Wears Prada**Lucky Number Slevin**Kit Kittredge: An American Girl**Space Chimps**Swing Vote**What Just Happened**Julie & Julia**The Lovely Bones**Burlesque**Easy A**Captain America: The First Avenger**Margin Call**The Hunger Games**The Fifth Estate**The Hunger Games: Catching Fire**Jack the Giant Slayer**Percy Jackson: Sea of Monsters**Transformers: Age of Extinction**Wild Card**,1499500000.0,Stanley Tucci,0.665260624208
Michael Bolten,2908893.0,-1545553.5,1,Letters to God**,3000000.0,Michael Bolten,-0.5151845
Andrew Caldwell,6265483.0,-3867258.5,1,College**,7000000.0,Andrew Caldwell,-0.5524655
Kevin Chamberlin,11416075.0,-21291962.5,1,Suspect Zero**,27000000.0,Kevin Chamberlin,-0.788591203704
Wendy Raquel Robinson,17500000.0,-24350000.0,1,Rebound**,33100000.0,Wendy Raquel Robinson,-0.735649546828
Sean Gunn,435894.0,-3282053.0,2,The Specials**Super**,3500000.0,Sean Gunn,-0.937729428571
Katey Sagal,287500000.0,114750000.0,1,Pitch Perfect 2**,29000000.0,Katey Sagal,3.95689655172
